Composto bioativos da fruta do café verde: Obtenção do extrato seco, caracterização por LC-DAD-MSn  e determinação da estabilidade do extrato seco.;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Reitoria;01/ago/19;01/ago/20
AR CONDICIONADO ELETRONICO SOLAR EM ESTADO SÓLIDO – SEM COMPRESSOR;ENGENHARIA ELÉTRICA;Campus Cuiabá;10/out/18;10/set/19
Saúde e Meio Ambiente;BIOLOGIA GERAL;Campus Pontes e Lacerda;01/abr/19;30/nov/19
Percepções dos tutores presenciais sobre a formação inicial de professores de química em EaD ofertada pelo IFMT;ENSINO;Campus Confresa;31/jul/18;31/jul/19
Crescimento e desenvolvimento de plantas de pimenta e frutíferas em sistemas consorciados;AGRONOMIA;Campus Juína;01/ago/18;31/jul/19
Transparência e Acesso à Informação na Gestão Municipal de Barra do Garças-MT;CIÊNCIA DA COMPUTAÇÃO;Campus Barra do Garças;01/ago/19;31/dez/19
Um estudo probabilístico do jogo Zigue-Zague - Fase 2;MATEMÁTICA;Campus Primavera do Leste;30/nov/21;29/nov/22
MODELAGEM MATEMÁTICA NO CRESCIMENTO DO FUNGO PYCNOPORUS SANGUINEUS NO PRIMEIRO SEMESTRE DO CURSO DE BIOLOGIA NO IFMT – CAMPUS JUINA;MATEMÁTICA;Campus Juína;01/ago/20;31/jul/21
JOGO DE XADREZ NO INSTITUTO FEDERAL DE MATO GROSSO;EDUCAÇÃO FÍSICA;Campus Cuiabá;15/jul/19;18/dez/20
Construção de Modelos Mentais com base no Comportamento do Consumidor e nos Atributos de Decisão de Compra;ADMINISTRAÇÃO;Campus Alta Floresta;01/ago/19;31/jul/20
Efeito da fritura com diferentes óleos ou gordura no perfil lipídico, índices trombogênicos e teratogênicos  dos Alimentos;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Cuiabá-Bela Vista;11/jun/18;30/nov/19
INDICES VEGETATIVOS PARA CULTURAS DE SEGUNDA SAFRA.;AGRONOMIA;Campus Campo Novo do Parecis;01/set/21;31/jul/22
avaliação do desempenho agronômico do feijão caupi submetido ao uso de inoculante;MICROBIOLOGIA;Campus Sorriso;01/ago/17;31/jul/19
AVALIAÇÃO DO EFEITO DOS ANTIOXIDANTES NATURAIS PRESENTES NAS CASCAS DE LIMÃO, ROMÃ E FOLHAS DO CHÁ VERDE NA ESTABILIDADE DOS BIODIESEIS DURANTE O SEU ARMAZENAMENTO;ENGENHARIA QUÍMICA;Campus Cáceres;01/ago/19;30/set/20
QUALIDADE DE CASTANHA-DO-BRASIL (Bertholletia excelsa H.B.K.) ORIUNDAS DA AMAZÕNIA OCIDENTAL;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Avançado Sinop;20/nov/18;20/nov/19
Comportamento do consumidor de pães na cidade de Cuiabá, MT;ADMINISTRAÇÃO;Campus Cuiabá-Bela Vista;01/ago/19;30/set/20
Estudo de shelf-life do desenvolvimento do café solúvel enriquecido com colágeno hidrolisado.;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Cuiabá-Bela Vista;07/dez/21;15/nov/22
Contra o terraplanismo: desenvolvendo estratégias de ensino e divulgação científica em tempos de pós-verdade;FILOSOFIA;Campus Pontes e Lacerda;01/out/20;30/set/21
Aproveitamento de resíduos do beneficiamento do algodão para a produção de concreto;ENGENHARIA CIVIL;Campus Várzea Grande;01/ago/20;31/jul/21
EFEITOS DA IRRADIAÇÃO GAMA NA QUALIDADE DA CARNE DE PIRARUCU (Arapaima gigas);CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Campo Novo do Parecis;01/ago/19;30/set/20
MAPEAMENTO DA ÁREA DE INUNDAÇÃO DO BAIRRO JARDIM DAS PALMEIRAS, MUNICÍPIO DE CAMPO NOVO DO PARECIS, MT;GEOGRAFIA;Campus Campo Novo do Parecis;17/abr/19;16/mar/20
CARACTERIZAÇÃO MICROBIOLÓGICA E FÍSICO-QUÍMICA DO LEITE PASTEURIZADO COMERCIALIZADO NA REGIÃO METROPOLITANA DE CUIABÁ;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Cuiabá-Bela Vista;01/ago/18;31/jul/19
A leitura e a escrita de textos filosóficos no Ensino Médio: buscando alternativas para o Ensino de Filosofia;ENSINO;Campus Pontes e Lacerda;01/out/20;30/set/21
Sistema alarme remoto para detecção de problemas fitossanitários em plantios de Tectona grandis L.f em Mato Grosso;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;Campus Cáceres;01/ago/19;31/jul/20
Programa para cálculo de rede de hidrantes de combate a incêndio usando linguagem Python.;ENGENHARIA SANITÁRIA;Campus Cuiabá;30/jul/19;30/jun/20
Teste experimental de interferência entre malhas de aterramento elétrico;ENGENHARIA ELÉTRICA;Campus Primavera do Leste;17/nov/21;17/nov/22
JOGOS DIDÁTICOS APLICADOS À CIÊNCIAS E ASTRONOMIA: facilitador do ensino-aprendizado.;INTERDISCIPLINAR;Campus Primavera do Leste;01/ago/22;01/ago/23
Farinha de casca de ovos como fonte alternativa de calcio na dieta de frangos de corte;ZOOTECNIA;Campus São Vicente;01/ago/19;31/ago/20
SÍNTESE DE BIOQUEROSENE DE AVIAÇÃO UTILIZANDO COMO MATÉRIA-PRIMA O ÓLEO DE COCO BABAÇU;ENGENHARIA QUÍMICA;Campus Cáceres;01/ago/19;31/jul/20
Propagação vegetativa de espécies nativas: Pyrostegia venusta e Tibouchina stenocarpa;BOTÂNICA;Campus São Vicente;01/ago/19;31/jul/20
Viabilidade técnica e econômica do uso da água da chuva para irrigação no setor de horta do Campus Campo Novo do Parecis – IFMT;ENGENHARIA AGRÍCOLA;Campus Campo Novo do Parecis;01/abr/19;31/mar/20
EDUCAÇÃO FINANCEIRA: UM ESTUDO DOS SERVIDORES DO INSTITUTO FEDERAL DE MATO GROSSO;ADMINISTRAÇÃO;Campus Alta Floresta;01/ago/19;31/jul/20
LEVANTAMENTO ETNOBOTÂNICO DE PLANTAS MEDICINAIS NO MUNICÍPIO DE CAMPO NOVO DO PARECIS - MT;BOTÂNICA;Campus Campo Novo do Parecis;01/abr/19;01/abr/20
Avaliação físico-química do leite in natura e pasteurizado comercializado na cidade de Rondonópolis -MT;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Rondonópolis;01/ago/19;31/jul/20
Avaliação da Qualidade Visual da Paisagem da Transpantaneira no Pantanal de Poconé - MT;TURISMO;Campus Cuiabá;03/jun/19;31/jul/20
EFICIÊNCIA DE USO DE NITROGÊNIO PELA SOJA CULTIVADA SOBRE DIFERENTES RESÍDUOS INOCULADOS OU NÃO COM Azospirillum brasilense.;AGRONOMIA;Campus Campo Novo do Parecis;01/ago/19;30/set/20
Gêneros textuais, materiais instrucionais e o ensino de inglês para a Construção: como se comportam os textos técnicos na área de Edificações;LINGUÍSTICA;Campus Cuiabá;10/out/18;30/set/19
ENERGIA METABOLIZÁVEL DE DIFERENTES ALIMENTO PARA FRANGOS DE CORTE DE CRESCIMENTO LENTO;ZOOTECNIA;Campus São Vicente;01/ago/19;31/jul/20
Primeira ocorrência e injúrias por Euschistus heros (F. 1798) (Hemiptera: Pentatomidae) em talhões de Tectona grandis L. f.;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;Campus Cáceres;22/abr/19;01/fev/21
PRODUÇÃO DE LADRILHO HIDRÁULICO UTILIZANDO COMO AGREGADO RESÍDUO DA CONSTRUÇÃO CIVIL;ENGENHARIA CIVIL;Campus Cuiabá;01/ago/19;30/set/20
CONSTRUÇÃO DE DISPOSITIVOS SONOROS COMO FACILITADORES DA APRENDIZAGEM NO ENSINO DE FÍSICA EM OSCILAÇÕES, ONDAS E ACÚSTICA;FÍSICA;Campus Primavera do Leste;01/ago/22;01/ago/23
Adubação NPK no milho pipoca;AGRONOMIA;Campus Campo Novo do Parecis;01/ago/18;31/jul/29
TV ESTUDANTE - UMA PROPOSTA PARA FORMAÇÃO DIGITAL DE ACADÊMICOS DE ENGENHARIA;EDUCAÇÃO;Campus Cuiabá;12/set/19;12/dez/19
Os Múltiplos Olhares da Formação e da Qualificação do Secretariado Executivo e sua Interdisciplinaridade de Atuação Profissional;ADMINISTRAÇÃO;Campus Cuiabá;01/abr/20;21/dez/20
Percepção e comportamento da população de Confresa/MT na pandemia de Covid-19;SAÚDE COLETIVA;Campus Confresa;01/ago/20;31/jul/21
Avaliação de diferentes atrativos na captura de enxames de Apis mellifera;ZOOTECNIA;Campus Avançado Guarantã do Norte;01/ago/19;31/jul/20
Protótipo de sistema de comunicação digital baseado na  tecnologia SDR.;ENGENHARIA ELÉTRICA;Campus Primavera do Leste;01/ago/19;31/jul/20
Modernismo conservador na Revista cuiabana "A Violeta": um projeto político estado-novista.";ARTES;Campus Primavera do Leste;01/out/21;01/out/22
Isolamento e caracterização de rizóbios produtores de ácido indol-3-acético (AIA) e solubilizadores de fosfato;MICROBIOLOGIA;Campus Sorriso;01/ago/19;31/jul/20
Trigo no cerrado: qualidade das sementes e dos graõs;AGRONOMIA;Campus São Vicente;01/ago/19;30/set/20
O PERFIL DOS ALUNOS DO IFMT  CAMPUS AVANÇADO DIAMANTINO:  ENTRE O BEM ESTAR E O ESTAR BEM;EDUCAÇÃO FÍSICA;Campus Diamantino;27/ago/18;27/ago/19
ERRADO;AGRONOMIA;Campus São Vicente;01/ago/20;31/jul/21
